article_id,item_popularity,item_avg,product_type_name,product_group_name,colour_group_name,garment_group_name
111565001,4911,0.006903940997207924,Underwear Tights,Socks & Tights,Black,Socks and Tights
114428026,5,0.009779661016949152,Bra,Underwear,White,"Under-, Nightwear"
118458029,126,0.03027468388485337,Trousers,Garment Lower body,Dark Grey,Jersey Basic
126589006,575,0.004198231392778188,Hair clip,Accessories,Black,Accessories
145872051,58,0.02432641729982466,Top,Garment Upper body,Black,Jersey Fancy
153115021,1937,0.02101986297174557,Bra,Underwear,White,"Under-, Nightwear"
153115043,494,0.019372229465449798,Bra,Underwear,Yellowish Brown,"Under-, Nightwear"
156231002,1630,0.0063371321617968195,Leggings/Tights,Garment Lower body,Beige,Socks and Tights
156289011,50,0.012038305084745762,Trousers,Garment Lower body,Blue,Trousers Denim
162074071,28,0.0064382566585956405,Socks,Socks & Tights,Black,"Under-, Nightwear"
164912035,22,0.005189522342064715,Socks,Socks & Tights,Black,Socks and Tights
174057037,16,0.02036334745762712,Pyjama jumpsuit/playsuit,Nightwear,Dark Blue,"Under-, Nightwear"
174057039,5,0.022016949152542376,Pyjama jumpsuit/playsuit,Nightwear,Dark Blue,"Under-, Nightwear"
176550021,1,0.025406779661016947,Sleep Bag,Underwear/nightwear,White,"Under-, Nightwear"
179208008,160,0.011921186440677967,Leggings/Tights,Garment Lower body,Black,Socks and Tights
179950017,2643,0.024172922398147938,Belt,Accessories,Black,Accessories
181448105,386,0.01076587336436287,Socks,Socks & Tights,Black,"Under-, Nightwear"
187949020,8,0.028033898305084744,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,"Under-, Nightwear"
187949029,9,0.02825047080979284,Pyjama jumpsuit/playsuit,Nightwear,White,"Under-, Nightwear"
188183021,2407,0.048448789899516,Swimsuit,Swimwear,Red,Swimwear
188183023,710,0.04719766053950825,Swimsuit,Swimwear,Light Blue,Swimwear
189616001,4709,0.015075711493677802,Leggings/Tights,Garment Lower body,Black,Jersey Basic
189616032,574,0.016265989487982038,Leggings/Tights,Garment Lower body,Black,Jersey Basic
189691033,51,0.009976736457294785,Sweater,Garment Upper body,Black,Jersey Basic
194037001,2497,0.0116997142333512,Leggings/Tights,Garment Lower body,Black,Socks and Tights
198518017,366,0.016117393720477904,Kids Underwear top,Underwear,Grey,"Under-, Nightwear"
201219001,3941,0.02081424743784378,Underwear Tights,Socks & Tights,Black,Socks and Tights
201219011,1056,0.020509100539291194,Underwear Tights,Socks & Tights,Dark Red,Socks and Tights
203595040,2,0.016093220338983052,Shirt,Garment Upper body,Yellow,Shirts
205225001,1337,0.013359152162062802,Bikini top,Swimwear,Black,Swimwear
211143022,49,0.01890038049117954,Pyjama set,Nightwear,Blue,"Under-, Nightwear"
211143040,88,0.029919876733436046,Pyjama set,Nightwear,Dark Blue,"Under-, Nightwear"
212766041,283,0.021413068215847163,Trousers,Garment Lower body,Greenish Khaki,Trousers
214844003,1883,0.0023460849527890027,Hair clip,Accessories,Gold,Accessories
215303001,1020,0.011523296776337661,Sunglasses,Accessories,Yellowish Brown,Accessories
215337066,2,0.010152542372881357,T-shirt,Garment Upper body,Blue,Jersey Basic
217727018,22,0.012729583975346686,Socks,Socks & Tights,Beige,Socks and Tights
219075028,104,0.04491672099087352,Trousers,Garment Lower body,Dark Beige,Trousers
220094010,1371,0.0192471287814165,Dress,Garment Full body,Greenish Khaki,Jersey Basic
220094016,470,0.0235078615218175,Dress,Garment Full body,Off White,Jersey Basic
225286014,2,0.03049152542372881,Sweater,Garment Upper body,Black,Jersey Fancy
225784023,3,0.00635593220338983,T-shirt,Garment Upper body,Pink,Jersey Basic
226011008,4,0.005067796610169491,Hair clip,Accessories,Off White,Accessories
228257002,2305,0.00789492996066032,Underwear Tights,Socks & Tights,Beige,Socks and Tights
228257005,1257,0.005854819788843494,Underwear Tights,Socks & Tights,Dark Grey,Socks and Tights
237347022,8,0.019389830508474575,Hoodie,Garment Upper body,Pink,Jersey Basic
241412052,1132,0.0165053302988561,Leggings/Tights,Garment Lower body,Black,Trousers
241602003,506,0.08137887720238494,Blazer,Garment Upper body,Black,Dressed
243613004,2557,0.01893852037941703,Leggings/Tights,Garment Lower body,Black,Jersey Basic
244267001,652,0.01699204533638349,Sweater,Garment Upper body,Dark Blue,Knitwear
247072032,1,0.022016949152542376,Pyjama jumpsuit/playsuit,Nightwear,Light Pink,"Under-, Nightwear"
253448001,5717,0.023925603982176222,Bra,Underwear,Black,"Under-, Nightwear"
253448062,684,0.01998979086133412,Bra,Underwear,Yellowish Brown,"Under-, Nightwear"
254303057,20,0.016316949152542372,Socks,Socks & Tights,White,Accessories
254457034,1,0.0033728813559322033,Dress,Garment Full body,Off White,Jersey Basic
254457039,18,0.009732580037664782,Dress,Garment Full body,Light Pink,Jersey Basic
